ph_final,viscosity_cp,conductivity_ms_cm,density_g_ml,turbidity_ntu,reaction_temp_c,reaction_time_min,active_conc_mg_ml,f1_active_reagent,f2_solvent_salts,f3_agitation_kinetics
7.06,130.02,8.27,1.211,18.73,42.85,27.24,111.55,0.1585,1.0288,-1.7254
5.68,158.62,0.48,1.185,11.42,40.63,24.73,97.79,0.6256,-2.2142,-1.2588
7.4,139.41,7.19,1.196,32.59,48.47,39.28,94.06,-0.3093,0.3457,1.048
7.35,163.42,9.41,1.216,29.45,44.84,34.85,110.32,0.4568,1.1896,-0.4664
7.05,78.93,6.05,1.187,17.22,42.04,31.49,80.89,-0.6619,-0.153,-1.1088
7.37,148.77,7.92,1.199,24.58,45.28,34.6,98.29,-0.3631,0.5502,0.2295
6.83,106.65,3.29,1.195,23.85,42.29,31.91,88.64,-0.3817,-0.7031,-0.5224
7.17,81.03,6.51,1.179,21.83,43.17,28.48,80.71,-1.1958,-0.1194,-0.4708
6.26,147.89,1.56,1.192,29.97,45.18,34.5,103.45,0.487,-1.6209,0.7393
5.99,99.68,0.17,1.167,4.59,41.74,25.09,83.99,-0.4694,-2.3443,-1.1617
7.45,154.88,7.78,1.207,17.46,43.69,33.23,102.63,0.0125,0.9428,-0.9054
6.32,183.44,2.73,1.191,23.74,43.64,33.31,102.42,0.4807,-0.985,0.1541
6.74,169.62,5.86,1.196,32.45,45.16,38.24,106.48,0.4465,-0.4555,0.9694
6.4,183.95,1.96,1.191,25.1,46.71,40.5,109.19,0.6654,-1.3864,1.2382
6.45,106.51,2.8,1.185,17.7,42.84,30.01,92.44,-0.0985,-1.41,-0.6651
7.14,141.37,5.92,1.196,34.5,45.9,38.41,89.58,-0.4233,-0.1738,0.9374
6.59,121.53,3.76,1.184,19.31,42.63,33.93,92.05,-0.0797,-0.7296,-0.7841
7.84,119.25,7.83,1.176,29.46,48.23,44.89,71.75,-1.6873,0.378,1.8262
7.52,91.84,6.73,1.177,9.46,43.95,29.44,74.1,-1.4471,0.4525,-1.1338
7.58,132.12,7.49,1.182,31.17,46.38,41.82,77.26,-1.3227,0.3208,1.3285
7.32,92.54,6.25,1.192,16.52,43.67,32.51,82.29,-0.9972,0.2386,-0.6565
7.91,223.95,10.19,1.22,47.2,50.75,50.12,112.17,0.3998,1.5778,2.0132
6.96,111.45,4.08,1.176,24.72,44.26,40.51,80.31,-0.9055,-1.0676,0.5913
7.03,115.19,5.89,1.2,20.58,42.97,27.83,94.64,-0.3782,-0.0549,-1.016
7.14,196.96,7.71,1.233,25.41,45.34,35.46,133.81,1.2992,1.1327,-0.5222
7.73,153.39,9.98,1.204,33.72,45.97,41.66,100.92,-0.3563,1.2645,0.7812
6.33,201.98,2.29,1.197,29.6,46.35,41.32,112.37,0.7375,-1.4218,1.0526
7.08,112.16,5.18,1.18,19.44,44.31,34.11,79.49,-0.9336,-0.3124,-0.0707
7.68,158.13,9.98,1.212,32.02,46.45,36.23,96.93,-0.2054,1.3581,0.0447
7.46,125.31,7.67,1.193,31.93,45.27,41.55,84.89,-0.95,0.5081,0.7584
7.29,169.72,6.05,1.191,30.75,45.25,37.83,97.25,-0.339,0.1953,0.1318
6.47,177.69,5.85,1.211,20.36,44.1,30.8,116.36,0.8403,-0.2177,-1.2935
7.14,56.22,5.35,1.17,10.81,44.45,30.54,71.01,-1.7273,-0.3838,-0.813
7.05,170.5,6.63,1.212,28.24,46.95,36.37,101.36,0.4344,0.2882,0.2351
7.11,172.65,5.31,1.204,26.76,46.05,36.51,107.03,0.2377,-0.2524,1.2155
7.26,151.8,6.98,1.193,39.17,48.05,40.62,90.14,-0.5941,-0.0426,1.616
7.42,96.22,6.53,1.178,23.62,45.44,38.58,69.65,-1.4461,0.0786,0.7795
6.66,155.68,3.5,1.198,27.29,45.33,33.7,100.76,0.0721,-0.6781,0.2873
7.58,162.8,7.35,1.194,32.44,45.81,41.28,93.11,-0.5295,0.5321,0.7488
7.96,162.68,14.04,1.227,25.02,44.39,31.63,116.99,0.2327,2.9142,-0.6668
6.1,117.27,1.76,1.17,14.99,43.18,31.38,96.28,0.0219,-1.777,-0.1532
6.88,199.15,6.07,1.227,32.8,45.03,29.87,131.42,1.6018,0.324,-0.8241
6.64,108.85,4.53,1.186,14.18,42.38,29.78,88.23,-0.2394,-0.7602,-1.2487
7.46,143.82,8.25,1.192,22.65,45.96,36.2,83.46,-1.0235,0.5774,0.3335
6.99,172.44,5.97,1.195,26.65,45.63,36.97,98.56,0.1793,0.0466,0.1855
7.36,188.07,7.97,1.208,37.32,47.22,39.94,108.95,0.22,0.7619,0.6877
7.31,221.14,8.92,1.234,41.52,47.83,40.99,133.36,1.3592,1.1755,0.5461
7.05,185.53,5.88,1.21,24.75,45.66,38.23,112.08,0.8351,0.1924,0.2426
7.51,166.52,8.95,1.218,40.26,47.01,39.13,108.94,0.3569,1.1321,0.5566
5.53,193.83,0.1,1.196,27.39,45.44,29.03,114.32,1.4633,-2.3443,-0.0427
8.12,130.44,9.73,1.198,27.3,46.51,38.4,83.6,-1.1888,1.5905,0.4129
7.2,132.7,6.93,1.197,13.72,43.74,31.34,91.22,-0.6398,0.3751,-0.7261
7.67,126.73,9,1.201,31.33,46.14,38.68,86.3,-0.9266,1.0778,0.3697
6.47,130.53,3.59,1.182,26.37,45,35.98,90.06,-0.3898,-1.2199,0.6684
6.78,78.62,3.2,1.168,6.48,42.27,32.77,75.09,-1.3767,-0.8308,-0.6697
6.84,188.35,6.01,1.209,27.41,45.64,35.46,115.32,0.6352,0.1459,0.0518
6.89,113.94,5.66,1.199,32.2,43.32,29.71,92.58,-0.2222,-0.017,-0.6236
7.47,94.93,7.55,1.177,16.35,43.53,31.47,78.82,-1.4708,0.2831,-0.5265
7.53,103.1,8.88,1.195,13.35,42.62,33.75,90.46,-1.0156,1.0845,-1.1249
6,151.17,2.47,1.186,25.78,46.27,41.53,103.24,0.3135,-1.7652,1.2658
7.25,184.23,8.82,1.222,45.82,48.46,43.93,118.51,0.8381,0.9738,1.0657
6.52,236.38,5.32,1.226,40.16,46.58,35.88,133.72,1.9967,0.0083,0.5374
6.33,311.47,5.11,1.234,55.48,47.77,44.27,148.68,2.9139,-0.2038,1.9722
6.34,169.12,1.84,1.194,21.91,44.33,31.13,98.27,0.4144,-1.4711,-0.1892
7.73,165.19,8.64,1.194,48.79,50.52,52.55,84.24,-0.9895,0.503,3.0318
6.49,60.71,0.1,1.137,4.24,41.15,30.99,60,-2.132,-2.4141,-0.2275
7.25,170.51,7.24,1.212,30.45,46.72,36.07,111.33,0.2677,0.6484,0.2552
6.49,108.03,2.51,1.177,15.64,41.66,30.59,77.94,-0.8129,-1.4921,-0.3978
7.1,134.09,6.95,1.197,31.64,46.48,35.51,92.62,-0.4154,0.0535,0.3723
7.18,130.68,4.94,1.188,29.32,46.12,39.12,88.19,-0.6121,-0.1192,0.8356
7.49,146.22,9.75,1.206,24.65,43.52,37.77,100.24,-0.1408,1.1695,-0.1139
6.84,192.78,5.5,1.215,41.42,48.66,41.57,120.68,1.066,-0.1787,1.7767
6.65,168.37,3.25,1.196,18.51,44.64,36.31,101.14,0.157,-0.6941,0.2391
6.76,134.95,3.28,1.193,15.46,44.57,38.74,95.54,-0.1586,-0.5066,0.2705
7.82,98.05,8.67,1.196,21.64,43.18,30.91,87.52,-1.0357,1.2729,-0.909
7.74,80.49,7.97,1.176,21.34,45.34,36.78,73.85,-1.6747,0.5363,0.4185
6.9,122.23,5.08,1.191,19.91,43.86,35.73,91.52,-0.4863,-0.3856,-0.134
6.86,157.52,5.6,1.199,23.14,42.05,29.45,95.57,-0.0538,-0.2364,-0.6082
5.77,218.52,0.96,1.212,27.52,44.36,29.12,128.24,1.7679,-1.5672,-0.7765
7.34,179.24,6.95,1.206,47.53,49.91,48,104.66,0.1303,0.3885,2.6718
5.94,163.51,0.87,1.204,29.52,43.03,28.05,109.35,0.9827,-1.7598,-0.2635
7.27,103.28,7.83,1.198,17.07,41.69,27.43,94.72,-0.4993,0.7518,-1.457
7.21,105.28,6.67,1.189,16.97,44.05,28.76,80.22,-1.1849,0.1286,-0.6982
8.18,137.93,12.09,1.206,28.9,45.02,37.08,95.42,-0.9651,2.387,-0.0516
6.71,110.55,3.92,1.183,17.48,45.04,39.14,79.41,-0.7252,-1.1001,0.5467
6.52,243.3,4.89,1.236,40.91,46.25,41.66,141.88,2.1285,-0.1027,0.5548
8.03,139.55,10.62,1.204,22.06,46.68,40.71,92.48,-0.8214,1.7983,0.6766
7.46,205.15,8.45,1.231,25.07,44.02,34.68,118.34,0.8385,1.1914,-0.6449
7.02,118.59,5.07,1.181,21.77,44.21,36.97,79.35,-0.9029,-0.6962,0.3404
6.88,184.4,6.06,1.213,20.11,43.96,29.64,114.66,0.9316,0.224,-0.8761
6.91,124.12,5.42,1.204,20.4,44.25,27.74,101.71,0.385,0.002,-0.6196
7.22,131.99,7.06,1.205,26.15,42.78,33.49,100.34,-0.1566,0.282,-0.9177
6.51,148.56,5.03,1.196,18.84,42.27,25.67,102.41,-0.0408,-0.6987,-1.1884
7.03,154.79,6.28,1.185,26.82,47.39,43.53,83,-0.6548,-0.0893,1.0642
6.2,140.03,2.47,1.19,24.93,43.8,38.26,98.79,0.4461,-1.5981,0.6886
7.32,144.04,7.2,1.195,25.31,46.66,38.55,94.61,-0.455,0.1351,0.9767
7.52,91.65,7.24,1.184,24.54,44.04,36.29,79.6,-1.2256,0.45,0.0393
7.32,128.79,5.96,1.188,23.64,44.78,43.31,78.59,-1.2779,-0.2274,0.7768
6.16,117.27,0.76,1.187,0.65,41,26.77,96.34,0.1726,-1.6151,-1.7613
7.17,226.78,8.17,1.233,40.73,47.39,39.71,130.64,1.5791,0.9885,0.8631
7.21,163.11,6.62,1.211,29.73,44.54,34.91,103.66,0.16,0.3645,0.1771
6.69,116.11,4.07,1.189,30.59,46.76,37.92,87.81,-0.1186,-0.726,0.6271
6.75,151.31,4.89,1.206,27.67,46.43,36.48,100.59,0.2858,-0.2806,0.38
6.03,172.86,1.37,1.198,17.32,40.96,30.47,120.35,1.306,-1.5007,-0.9871
6.34,136.2,3.23,1.191,20.26,40.35,27.21,103.42,0.2194,-1.0254,-1.498
6.74,94.21,4.52,1.193,16.78,43.71,27.16,94.67,-0.4109,-0.5378,-0.7121
7.28,210.44,8.04,1.235,39.94,47.06,40.25,126.15,1.1063,1.2284,0.5649
6.62,183.22,3.97,1.197,27.47,47.32,37.8,98.39,0.4288,-0.6395,0.6901
6.71,179.9,6.17,1.226,26.25,44.15,28.19,128.3,1.5358,0.6402,-1.3679
6.51,139.98,4.47,1.2,11.43,43.2,29.56,105.12,0.1832,-0.5383,-0.9811
7.23,93.44,7.12,1.182,13.94,42.46,33.67,83.82,-1.2245,0.2479,-0.7232
7.23,109.07,6.1,1.177,11.77,44.15,34.85,78.9,-1.3682,-0.1414,-0.3573
6.8,201.58,7.11,1.237,22.27,42.67,26.88,132.5,1.6509,0.8731,-1.3621
6.27,190.21,3.93,1.218,25.34,43.93,26.53,124.97,1.7237,-0.5348,-1.4221
6.28,125.03,1.57,1.174,11.36,42.73,28.01,90.36,-0.1795,-1.5725,-0.8218
6.5,106.23,1.97,1.175,22.8,43.29,30.73,87.62,-0.3832,-1.3819,0.0863
6.22,182.78,4.31,1.217,27.06,43.81,27.76,128.88,1.4614,-0.5319,-1.1806
6.69,86.02,3.47,1.163,15.9,45.49,36.8,75.76,-1.107,-1.2491,-0.1158
7.54,132.52,8.02,1.189,34.04,46.64,37.81,85.59,-0.8947,0.4102,1.0586
6.56,161.73,4.03,1.199,19.19,43.08,27.33,109.94,0.6433,-0.4658,-1.3018
8.14,161.52,12.84,1.224,29.57,45.74,36.13,103.6,-0.3946,2.3746,-0.2064
6.41,138.81,1.44,1.191,29.94,45.7,39.47,94.84,-0.0051,-1.7377,1.0248
7.09,140.86,6.82,1.195,29.39,42.97,30.98,95.7,-0.1634,0.2036,-0.4183
6.41,161.5,2.6,1.195,16.4,43.31,27.87,98.39,0.3376,-1.128,-0.5737
6.5,208.84,4.42,1.212,33.46,47.35,38.15,127.47,1.4075,-0.4934,1.1635
6.87,152.19,5.07,1.202,19.57,46.2,36.12,97.27,0.0906,0.1414,-0.3062
5.92,166.75,0.1,1.194,32.31,44,36.78,107.2,0.6439,-2.3254,1.1045
7.72,76.04,7.36,1.17,25.03,44.87,36.6,60,-2.0502,0.2368,0.429
7.88,142.37,10.69,1.217,25.97,46.85,39.23,104.98,-0.0487,1.9029,-0.3428
7.09,135.86,6.05,1.179,15.08,44.99,35.72,85.92,-0.8432,-0.4534,0.4797
7.43,99.36,6.52,1.189,20.45,45.12,37.71,79.1,-1.2188,0.2598,0.3204
7.72,152.75,8.85,1.184,33.9,46.45,43.77,84.34,-0.8782,1.0249,1.0209
7,119.31,5.11,1.192,19.07,42.93,33.85,94.61,-0.3341,-0.164,-0.5483
6.55,173.94,3.94,1.208,27.93,43.39,31.98,114.36,0.9159,-0.581,0.0412
6.26,87.82,0.98,1.155,10.34,42.2,30.96,66.37,-1.3264,-2.2757,-0.0615
7.44,180.12,8.54,1.21,36.03,45.84,40.12,101.24,0.0306,0.641,0.7041
6.9,116.63,5.3,1.196,16.92,42.99,33.11,90.73,-0.4842,-0.1132,-1.0252
6.68,151.15,3.31,1.179,30.12,45.28,38.06,88.31,-0.3277,-1.0127,1.017
6.98,194.91,5.54,1.225,33.29,45.9,36.7,125.86,1.0028,0.1266,0.4663
6.54,145.83,4.71,1.197,18.28,42.03,28.01,106.63,0.5381,-0.5837,-1.3169
6.52,208.4,5.03,1.22,39.06,47.3,42.36,120.84,1.3374,-0.5284,1.2083
7.56,194.24,8.02,1.204,38.13,48.91,49.25,98.02,-0.1545,0.6063,2.2341
6.68,115.49,2.23,1.174,26.71,44.63,37.48,87.45,-0.6959,-1.3384,1.0018
7.45,190.75,8.42,1.205,40.4,48.29,42.83,95.24,-0.2239,1.0473,1.427
6.25,143.21,2.4,1.19,27,45.23,34.5,99.85,0.2425,-1.3977,0.0854
6.49,125.76,4.17,1.197,13.75,41.73,27.72,99.81,0.1766,-0.6627,-1.6615
7.92,107.3,9.92,1.199,9.66,42.04,26.3,83.9,-1.0844,1.9229,-1.8441
7.53,169.01,8.79,1.212,27.28,46.17,37.49,103.68,0.0905,1.1274,0.2551
7.02,147.65,6.88,1.201,20.32,42.25,29.79,105.45,0.2282,0.0976,-0.592
5.83,227.21,2.51,1.223,26.6,43.58,32.76,138.96,2.5175,-0.9405,-0.9146
6.2,229.57,4.79,1.22,29.99,44.91,34.43,132.44,1.8768,-0.5293,-0.0627
7.33,117.88,6.89,1.183,21.62,44.98,40.61,90.12,-0.8532,0.0733,0.6156
6.92,115.57,5.35,1.194,9.27,41.62,27.11,95.49,-0.2874,0.0375,-1.4528
7.27,83.94,5.97,1.179,7.34,43.17,32.61,68.93,-1.4634,-0.0909,-0.4489
7.26,159.09,6.33,1.191,20.64,48.35,40.27,86.7,-0.5907,-0.0308,1.5099
6.9,143.15,4.66,1.21,17.57,44.02,24.57,103.97,0.3156,-0.2144,-1.0753
5.96,218.56,1.58,1.195,40.87,45.2,40.85,114.88,1.2059,-1.442,0.8698
6.87,106.52,5.53,1.186,24.33,43.01,31.97,85.27,-0.7291,-0.5165,-0.4847
7.63,138.32,8.19,1.199,25.03,45.92,39.33,92.82,-0.6541,0.9146,0.5458
6.97,64.83,3.85,1.157,20.59,45.89,37.17,61.07,-2.1473,-1.3683,1.0973
7.1,136.92,5.49,1.199,23.11,46.27,37.08,96.3,-0.1627,-0.1896,0.7413
7.05,100.5,4.36,1.175,19.41,45.72,41.31,74.14,-1.0624,-0.8198,0.9092
7.06,106.29,6.5,1.194,10.37,43.28,32.26,94.38,-0.5294,0.1114,-1.1516
7.13,141.37,5.18,1.18,27.22,45.85,39.49,86.45,-0.8769,-0.3886,1.1137
7.59,147.82,9.98,1.216,22.36,45.69,33.13,104.91,-0.0943,1.4774,-0.8527
7.68,82.83,6.87,1.171,22.32,45.12,37.31,69.65,-1.7577,0.5066,0.2595
6.8,96.79,3.3,1.168,19.66,43.19,34.87,70.21,-1.467,-1.3118,0.2582
6.8,267.77,5.97,1.239,37.58,46.99,42.04,140.38,2.1292,0.6712,0.4851
7.03,110.88,4.33,1.171,20.03,45.66,35.17,67.56,-1.2874,-0.7747,0.337
6.99,77.46,5.09,1.177,8.6,42.26,32.26,79.64,-1.0968,-0.577,-0.8438
6.45,200.42,6.31,1.23,18.46,44.38,28.65,137,1.8369,0.3138,-1.3499
6.06,296.14,3.38,1.244,35.26,46.83,39.27,154.65,2.9051,-0.4917,0.8723
7.57,117.75,8.13,1.204,26.89,44.8,39.66,80.29,-1.1716,0.8929,0.1858
